
2021-12-03;17-30-22-319739  ;;;  b'Strike Detected! reading of; 283; High, Low; 198, -158; Current Danger Level; 5; at tic; 19577700\r\n'
2021-12-03;17-32-04-399637  ;;;  b'Strike Detected! reading of; -311; High, Low; 221, -167; Current Danger Level; 6; at tic; 19679788\r\n'
2021-12-03;17-32-06-459993  ;;;  b'Strike Detected! reading of; 324; High, Low; 221, -167; Current Danger Level; 5; at tic; 19681763'
2021-12-03;17-37-10-525076  ;;;  b'Strike Detected! reading of; -261; High, Low; 193, -155; Current Danger Level; 5; at tic; 19985929\r\n'
2021-12-03;17-37-10-542071  ;;;  b'Strike Detected! reading of; -235; High, Low; 193, -155; Current Danger Level; 6; at tic; 19985931\r\n'
2021-12-03;17-38-52-419420  ;;;  b'Strike Detected! reading of; -239; High, Low; 230, -172; Current Danger Level; 6; at tic; 20087743\r\n'
2021-12-03;17-40-49-035510  ;;;  b'Strike Detected! reading of; 486; High, Low; 213, -175; Current Danger Level; 5; at tic; 20204448\r\n'
2021-12-03;17-40-49-146470  ;;;  b'Strike Detected! reading of; 292; High, Low; 213, -175; Current Danger Level; 6; at tic; 20204450'
2021-12-03;17-43-59-454830  ;;;  b'Strike Detected! reading of; -311; High, Low; 233, -175; Current Danger Level; 6; at tic; 20394849\r\n'
2021-12-03;17-44-16-064248  ;;;  b'Strike Detected! reading of; -514; High, Low; 231, -243; Current Danger Level; 5; at tic; 20411381'
2021-12-03;17-47-23-403971  ;;;  b'Strike Detected! reading of; 324; High, Low; 234, -184; Current Danger Level; 6; at tic; 20598805\r\n'
2021-12-03;17-49-05-619801  ;;;  b'Strike Detected! reading of; -266; High, Low; 206, -168; Current Danger Level; 5; at tic; 20700936'
2021-12-03;17-54-11-866802  ;;;  b'Strike Detected! reading of; -309; High, Low; 199, -153; Current Danger Level; 5; at tic; 21007268\r\n'
2021-12-03;18-01-00-917639  ;;;  b'Strike Detected! reading of; 297; High, Low; 203, -158; Current Danger Level; 4; at tic; 21416331\r\n'
2021-12-03;18-02-43-247715  ;;;  b'Strike Detected! reading of; 270; High, Low; 198, -154; Current Danger Level; 5; at tic; 21518667\r\n'
2021-12-03;18-04-06-328298  ;;;  b'Strike Detected! reading of; 332; High, Low; 235, -173; Current Danger Level; 6; at tic; 21601683\r\n'
2021-12-03;18-04-26-189049  ;;;  b'Strike Detected! reading of; -307; High, Low; 283, -198; Current Danger Level; 5; at tic; 21621518'
2021-12-03;18-11-15-041354  ;;;  b'Strike Detected! reading of; 274; High, Low; 202, -154; Current Danger Level; 5; at tic; 22030384'
2021-12-03;18-11-15-236292  ;;;  b'Strike Detected! reading of; 298; High, Low; 202, -154; Current Danger Level; 6; at tic; 22030655\r\n'
2021-12-03;18-16-22-473220  ;;;  b'Strike Detected! reading of; -267; High, Low; 194, -150; Current Danger Level; 4; at tic; 22337903\r\n'
2021-12-03;18-23-11-638851  ;;;  b'Strike Detected! reading of; -296; High, Low; 194, -146; Current Danger Level; 4; at tic; 22747068\r\n'
2021-12-03;18-24-53-537592  ;;;  b'Strike Detected! reading of; -283; High, Low; 195, -147; Current Danger Level; 4; at tic; 22848976\r\n'
2021-12-03;18-33-24-436756  ;;;  b'Strike Detected! reading of; 300; High, Low; 206, -154; Current Danger Level; 3; at tic; 23359883\r\n'
